"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
1017256	965	135	4	0	837	11	0	
1017274	837	52	3	0	782	0	0	
1017425	2291	45	41	0	2261	56	0	
1017528	4652	396	38	0	4364	146	0	
1017555	237	0	0	0	238	1	0	
1017564	224	0	7	0	217	0	0	
1017649	1002	30	14	0	971	13	0	
1017658	26024	2683	210	0	21050	2250	4331	
1017854	338	151	0	0	361	174	0	
1017939	9586	685	134	0	9156	389	0	
1017957	1123	30	17	0	1078	2	0	
1028010	8376	100	330	0	7946	0	0	
1029325	71577	28200	3396	834	69011	27806	-390	
1156221	2747	140	4	0	2605	2	0	
1156388	977	75	23	0	1013	134	0	
1156397	1733	60	6	0	1681	14	0	
1156539	21013	3155	0	0	19816	1958	0	
1156874	449	45	13	0	411	20	0	
1157219	1238	30	12	0	1198	2	0	
1157255	2443	280	83	0	2149	45	-24	
1157415	1393	0	1	0	1405	13	0	
1158832	1238	77	0	0	1172	11	0	
1158878	1095	75	0	0	1020	0	0	
1159996	1520	60	2	0	1490	32	0	
1160152	4381	0	1	0	4380	0	0	
1160161	0	0	0	0	0	0	0	
1160424	1334	-111	0	902	2347	0	0	
1160509	511	60	32	0	500	81	0	
1160732	634	100	22	0	514	2	0	
1160808	1683	0	2	0	1681	0	0	
1160853	0	0	0	0	0	0	0	
1161029	2119	99	6	0	2121	107	0	
1161216	2323	0	0	0	2323	0	0	
1162017	5024	620	14	0	4457	67	0	
1162099	164	9	0	0	157	2	0	
1162147	5498	150	3	0	5386	41	0	
1162530	1167	100	7	0	1112	52	0	
1162558	1982	60	9	0	1960	47	0	
1163153	0	0	0	0	0	0	0	
1163171	518	26	2	0	499	9	0	
1164329	3012	105	15	0	2936	44	0	
1164347	1586	47	17	0	1575	53	0	
1164730	4680	773	63	0	4513	598	-71	
1165531	540	24	41	0	475	0	0	
1165540	3470	240	3	0	3296	69	0	
1166060	724	113	16	0	600	5	0	
1166435	417	6	0	0	411	0	0	
1166453	465	0	26	0	439	0	0	
1167393	3470	365	3	0	3234	132	0	
1167889	24256	248	128	0	23285	586	1181	
1168439	966	56	182	0	881	153	0	
1169182	955	71	3	0	1009	128	0	
1169650	735	0	68	0	667	0	0	
1169913	1839	75	10	0	1761	7	0	
1176881	19866	2030	328	0	18220	712	0	
1176920	323	10	3	0	316	6	0	
1186956	443	57	5	0	391	10	0	
1186965	1117	28	4	0	1085	0	0	
1187001	1850	0	6	0	1859	15	0	
1187029	3517	487	13	0	3356	339	0	
1187391	3976	108	0	0	3920	52	0	
1187494	1286	7	11	0	1308	40	0	
1187551	316	22	0	0	294	0	0	
1187896	1625	84	114	0	1575	148	0	
1188594	1521	92	8	0	1457	36	0	
1188772	1760	60	20	0	1687	7	0	
1188987	692	120	42	0	710	180	0	
1189041	2031	120	12	0	1940	41	0	
1189993	8220	77	296	0	8024	177	0	
1190001	1585	84	16	0	1550	65	0	
1190074	4794	521	6	0	4355	88	0	
1190476	7856	590	24	0	7296	54	0	
1191352	534	0	3	0	531	0	0	
1191446	2463	60	2	0	2416	15	0	
1191482	791	0	4	0	788	1	0	
1193543	1352	66	4	0	1309	27	0	
1198605	994	70	22	0	936	34	0	
1198614	1484	330	66	0	1412	324	0	
1198641	4678	290	0	0	4390	2	0	
1211371	1535	90	16	0	1483	54	0	
1211429	5065	380	17	0	4692	24	0	
1211700	1719	60	23	0	1656	20	0	
1212846	37496	7064	8738	0	50497	28803	0	
1213254	3219	225	0	0	3068	74	0	
1213768	331	6	8	0	361	44	0	
1213777	1868	96	22	0	1759	9	0	
1215726	713	100	15	0	714	116	0	
1216022	16786	5066	814	0	16156	5250	0	
1216059	349	15	0	0	334	0	0	
1216291	3767	70	0	0	3697	0	0	
1216321	5765	1270	6	0	5057	568	0	
1216808	374	25	1	0	349	1	0	
1216826	860	245	0	0	615	0	0	
1216974	710	-58	5	0	778	15	0	
1216992	1263	0	0	0	1278	15	0	
1217494	1774	243	30	0	1561	60	0	
1217832	2420	140	29	0	2259	8	0	
1218165	730	173	0	0	771	214	0	
1218446	406	225	6	0	501	326	0	
1219144	904	75	0	0	830	1	0	
1219591	1462	79	0	0	1400	17	0	
1221558	3277	408	41	0	3017	189	0	
1222519	1737	155	9	0	1634	61	0	
1222948	831	17	6	0	812	4	0	
1224812	7771	242	357	0	8893	1721	0	
1225033	1061	38	0	0	1024	1	0	
1225734	5936	0	0	0	3260	0	2676	
1225752	1426	115	21	0	1357	67	0	
1225761	16500	4978	527	0	14000	3005	0	
1225798	269	0	0	0	269	0	0	
1225800	122548	45508	13	0	99231	22204	0	
1228034	2212	200	23	0	2057	68	0	
1228249	22619	11566	492	0	15218	4657	0	
1229198	533	68	0	0	465	0	0	
1229228	1332	150	12	0	1309	139	0	
1229424	2828	200	13	0	2637	22	0	
1293078	852	584	1127	0	946	1805	0	
1349890	26701	1325	3	0	24722	988	1639	
1356115	831	175	0	0	690	34	0	
1356526	1283	45	2	0	1244	8	0	
1356535	4183	110	21	0	4103	51	0	
1356683	2340	158	2	0	2180	0	0	
1356768	8902	390	14	0	8547	49	0	
1356852	2287	121	3	0	2187	24	0	
1357466	373	0	0	0	373	0	0	
1358696	812	22	10	0	799	19	0	
1360420	2441	481	41	0	2263	344	0	
1362237	2774	93	8	0	1862	67	878	
1362246	1314	70	0	0	1244	0	0	
1363270	23636	1710	136	0	22437	647	0	
1366909	3066	130	5	0	3036	105	0	
1367858	1562	50	3	0	1526	17	0	
1369870	0	0	0	0	0	0	0	
1377521	475	25	0	0	450	0	0	
1386251	24058	964	274	0	24531	1711	0	
1390324	119	2	10	0	123	16	0	
1390342	3756	397	105	0	3517	263	0	
1391170	1762	170	0	0	1596	4	0	
1391415	1461	115	3	0	1364	21	0	
1391778	6143	2030	333	0	4504	3324	2600	
1392542	689	21	5	0	695	32	0	
1393624	3009	30	22	0	2968	11	0	
1394621	1479	150	14	0	1374	59	0	
1394667	3956	210	38	0	3873	165	0	
1394676	556959	225752	20115	0	566581	261780	6291	
1396483	1061	135	0	0	935	9	0	
1396652	8397	2079	85	0	7643	1410	0	
1396700	1008	30	4	0	978	4	0	
1396764	2058	50	2	0	2030	24	0	
1397190	2831	875	32	0	2536	612	0	
1397471	1022	0	13	0	1131	122	0	
1398580	6788	350	311	0	6710	583	0	
1399916	1215	88	2	0	1125	0	0	
1401387	289	30	4	0	269	14	0	
1401529	20105	1265	295	0	18714	1558	1389	
1401547	1020	84	25	0	912	1	0	
1401631	2556	470	8	0	2407	329	0	
1401686	1510	122	6	0	1403	21	0	
1401891	193	12	1	0	195	15	0	
1401903	1080	30	0	0	1050	0	0	
1401949	0	0	0	0	0	0	0	
1402384	659	25	33	0	612	11	0	
1402405	74	0	9	0	65	0	0	
1402610	5374	670	106	0	5109	511	0	
1402629	850	17	2	0	831	0	0	
1402638	1264	60	4	0	1205	5	0	
1404463	2038	135	1	0	1902	0	0	
1404481	1286	75	8	0	1231	28	0	
1404847	998	180	6	0	891	79	0	
1404883	934	0	3	0	946	15	0	
1404940	0	0	0	0	0	0	0	
1406980	188	0	0	0	188	0	0	
1407512	1224	69	1	0	1162	8	0	
1407521	5180	1080	88	0	5098	1086	0	
1407530	2280	0	0	0	2297	17	0	
1407932	3700	180	107	0	3942	529	0	
1408069	4625	650	7	0	4302	334	0	
1411032	1799	270	4	0	1649	124	0	
1412598	2258	60	7	0	2207	16	0	
1412619	1488	60	21	0	1414	7	0	
1412712	8143	2276	413	0	7995	2541	0	
1413090	502	13	2	0	496	9	0	
1413139	448	0	0	0	448	0	0	
1414819	1579	120	2	0	1459	2	0	
1416327	2052	100	1	0	1953	2	0	
1416381	3952	76	39	0	4029	192	0	
1417557	872842	272279	33516	0	847824	280777	0	
1418255	1100	202	34	0	1109	243	0	
1419234	933	35	1	0	897	0	0	
1421040	1196	36	9	0	1171	20	0	
1421095	1672	210	19	0	1551	108	0	
1421161	5003	600	94	0	5267	958	0	
1425020	2579	60	11	0	2559	51	0	
1427770	62	6	0	0	60	4	0	
1429028	394	4	15	0	409	34	0	
1434826	1550	0	5	0	1576	31	0	
1435092	370	60	6	0	527	223	0	
1435412	485	0	17	0	482	14	0	
1435421	721	65	1	0	711	56	0	
1436071	862	45	5	0	825	13	0	
1436099	1721	60	4	0	1667	10	0	
1436204	4716	150	1	0	4871	16	-290	
