RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,2893,962,173,78977,,,,,,,12221,0,0,,,150,13922,0,0,0,,,,,,,,,,,,17950,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,599,19142,71416,,,,,,,651,0,0,,,19142,0,0,0,0,,,,,,,,,,,,18050,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1708,0,35113,,,,,,,26095,0,0,,,0,14552,0,0,9939,,,,,,,,,,,,18135,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,120,0,6684,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,18377,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,976,0,70324,,,,,,,14000,0,0,,,0,29916,14399,0,0,,,,,,,,,,,,18827,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,930,0,8572,,,,,,,5652,0,0,,,0,1910,15,0,0,,,,,,,,,,,,18836,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,386,0,1007,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,18854,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,453,0,8754,,,,,,,1942,0,0,,,0,4747,0,0,0,,,,,,,,,,,,18957,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,159,0,25096,,,,,,,1576,0,0,,,0,488,0,0,0,,,,,,,,,,,,19356,2009-03-31
0,,,,,,,,,,821,,0,0,0,0,18195,8311,133045,,,,,,,109920,0,0,,,3602,0,2265,0,1408,,,,,,,,,,,,19730,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,860,4920,28138,,,,,,,10000,0,0,,,300,1207,0,0,11719,,,,,,,,,,,,19936,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,214,12023,0,,,,,,,0,0,0,,,7862,0,0,0,0,,,,,,,,,,,,19972,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,503,0,10605,,,,,,,2942,0,0,,,0,100,408,0,136,,,,,,,,,,,,20053,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,491,0,16172,,,,,,,4679,0,0,,,0,7437,0,0,0,,,,,,,,,,,,20147,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,363,0,4185,,,,,,,5000,0,0,,,0,3886,0,0,0,,,,,,,,,,,,20370,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1060,250,37049,,,,,,,10000,0,0,,,250,12453,0,0,0,,,,,,,,,,,,20512,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1413,14526,29551,,,,,,,12000,0,0,,,0,1593,1000,0,0,,,,,,,,,,,,20633,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1274,0,99698,,,,,,,27602,0,0,,,0,48889,0,0,0,,,,,,,,,,,,20857,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1584,0,11646,,,,,,,18340,0,0,,,0,634,0,0,0,,,,,,,,,,,,20866,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,87,6,779,,,,,,,500,0,0,,,6,0,0,0,0,,,,,,,,,,,,21256,2009-03-31
