RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
33595,31494,0,0,1900,0,-85,31409,0,0,746,329550,2019-09-30
74696,64835,0,0,0,0,0,64835,0,0,3635,329952,2019-09-30
51374,47252,0,0,2483,0,0,47252,0,0,2906,330239,2019-09-30
18844,17198,0,0,522,0,0,17198,0,0,1135,330248,2019-09-30
234569,214212,0,0,9500,0,0,214212,0,0,10895,330855,2019-09-30
19059,17311,0,0,0,0,0,17311,0,0,798,330873,2019-09-30
18074,17232,0,0,149,0,0,17232,0,0,163,330949,2019-09-30
51074,48830,0,0,0,0,0,48830,0,0,1052,331076,2019-09-30
23627,22155,0,0,0,0,0,22155,0,0,196,331375,2019-09-30
18980,17538,0,0,395,0,0,17538,0,0,924,331544,2019-09-30
56841,52552,0,0,1339,0,-358,52194,0,0,2541,331713,2019-09-30
25254,19049,6211,0,886,0,0,19049,0,0,0,332055,2019-09-30
21454,19501,0,0,125,0,41,19542,0,0,1301,332224,2019-09-30
2618,2426,0,0,0,0,0,2426,0,0,1,332345,2019-09-30
72056,66970,0,0,0,0,0,66970,890,0,1617,332402,2019-09-30
24601,23835,0,0,0,0,0,23835,0,0,124,332671,2019-09-30
9902,9499,0,0,420,0,0,9499,0,0,285,332756,2019-09-30
35458,36718,0,0,5200,0,0,36718,0,0,138,333034,2019-09-30
70252,64180,0,0,4450,0,0,64180,130,0,2186,333203,2019-09-30
46563,43396,0,0,2830,0,0,43396,0,0,537,333650,2019-09-30
23199,18816,0,0,0,0,0,18816,0,0,1529,333856,2019-09-30
7861,7367,0,0,131,0,0,7367,0,0,269,333940,2019-09-30
42435,36291,0,0,1197,0,0,36291,0,0,2562,334264,2019-09-30
20333,17963,0,0,200,0,0,17963,0,0,1975,334648,2019-09-30
7377,6717,0,0,796,0,0,6717,0,0,15,334657,2019-09-30
27333,25549,0,929,1833,0,0,25549,0,0,2096,335346,2019-09-30
19847,16809,0,0,350,0,0,16809,0,0,1835,335355,2019-09-30
14536,13143,0,0,265,0,0,13143,0,0,426,336147,2019-09-30
21213,19926,0,0,0,0,0,19926,0,0,97,336361,2019-09-30
24229,14016,0,0,0,0,0,14016,10430,0,-624,336576,2019-09-30
2120,2225,0,0,10,0,0,2225,0,0,0,336950,2019-09-30
10565,10050,0,0,450,0,0,10050,0,0,400,337247,2019-09-30
20208,19596,0,0,1072,0,0,19596,0,0,443,337340,2019-09-30
30951,37474,0,-7797,0,0,-125,37349,0,0,505,338178,2019-09-30
28268,25301,0,0,775,0,0,25301,24,0,575,338646,2019-09-30
9344,8382,0,0,0,0,0,8382,0,0,429,338851,2019-09-30
6657,6048,0,0,125,0,0,6048,0,0,376,338945,2019-09-30
250896,243335,0,0,0,0,0,243335,0,0,5291,339072,2019-09-30
10091,10546,0,0,1500,0,0,10546,0,0,175,339353,2019-09-30
52055,47355,0,0,1800,0,0,47355,0,0,2171,339456,2019-09-30
118132,110899,0,0,0,0,0,110899,0,0,1677,339607,2019-09-30
287819,273804,0,0,0,0,0,273804,0,0,2110,339773,2019-09-30
4604638,3247013,992873,0,250000,0,2862,3249875,11795,0,206815,339858,2019-09-30
7291,7130,0,0,0,0,0,7130,0,0,38,339876,2019-09-30
128896,117687,0,0,8000,0,0,117687,0,0,4489,340135,2019-09-30
97981,88068,0,183,2100,0,0,88068,0,0,3001,340144,2019-09-30
62419,56510,0,0,0,0,0,56510,0,0,770,340256,2019-09-30
16908,14728,0,0,445,0,0,14728,0,0,1544,340443,2019-09-30
84213,82794,0,0,0,0,0,82794,-3000,0,1816,340742,2019-09-30
70529,65836,0,0,6596,0,0,65836,0,0,1293,340751,2019-09-30
59493,53133,0,0,0,0,0,53133,0,0,1905,341310,2019-09-30
28372,24010,0,0,4000,0,0,24010,0,0,3654,342054,2019-09-30
100786,76059,0,0,0,0,0,76059,32,0,17807,342362,2019-09-30
240082,175299,44763,0,2000,0,0,175299,0,0,5647,342410,2019-09-30
1690524,1635482,0,0,102379,0,0,1635482,3553,0,35239,342634,2019-09-30
13782,12313,0,0,0,0,-89,12224,0,0,996,343051,2019-09-30
5970,5694,0,0,25,0,0,5694,0,0,85,343248,2019-09-30
4180,3944,0,0,80,0,0,3944,0,0,122,343257,2019-09-30
8256,7692,0,0,0,0,0,7692,0,0,54,343770,2019-09-30
56804,53754,0,0,0,0,0,53754,0,0,-23,343903,2019-09-30
8265,8381,0,0,960,0,0,8381,0,0,6,343958,2019-09-30
97387,83436,0,0,2400,0,0,83436,0,0,10000,344647,2019-09-30
48445,41710,0,0,1000,0,0,41710,0,0,3218,344816,2019-09-30
